subject_id,mae_30s,mae_60s
01,0.7843137254901962,0.8486562942008484
02,0.6535947712418301,0.7072135785007071
03,0.13071895424836602,0.28288543140028316
04,0.26143790849673204,0.2828854314002829
05,1.4379084967320261,2.404526166902404
06,0.0,0.0
07,0.0,0.0
08,1.0457516339869282,0.14144271570014158
09,0.0,0.0
10,0.5228758169934641,0.2828854314002826
11,1.0457516339869282,0.4243281471004242
12,0.3921568627450981,0.4243281471004242
13,0.5228758169934641,0.28288543140028316
14,1.5686274509803924,0.1414427157001413
15,0.6535947712418301,0.7072135785007069
16,0.3921568627450981,0.14144271570014158
17,4.183006535947713,1.5558698727015554
18,0.0,0.0
19,2.0915032679738563,1.697312588401697
20,0.6535947712418301,0.14144271570014158
21,1.9607843137254903,0.9900990099009902
22,0.26143790849673204,0.14144271570014158
23,0.26143790849673204,0.0
24,1.6993464052287583,1.555869872701556
25,0.3921568627450981,0.4243281471004242
26,2.8758169934640523,1.1315417256011318
27,3.2679738562091507,1.4144271570014142
28,0.3921568627450981,0.0
29,0.9150326797385622,0.5657708628005663
30,1.3071895424836601,0.7072135785007073
31,0.26143790849673204,0.28288543140028316
32,6.797385620915034,4.526166902404525
33,9.80392156862745,10.74964639321075
34,1.1764705882352942,0.2828854314002829
35,2.0915032679738563,1.6973125884016975
36,0.7843137254901962,0.14144271570014158
37,0.6535947712418301,0.8486562942008489
38,2.0915032679738563,0.7072135785007071
39,2.0915032679738563,0.8486562942008484
40,2.4836601307189543,1.697312588401697
41,2.7450980392156863,3.1117397454031113
42,0.13071895424836602,0.0
43,1.4379084967320261,0.9900990099009908
44,0.3921568627450981,0.1414427157001413
45,0.6535947712418301,0.0
46,1.8300653594771243,2.6874115983026874
47,0.9150326797385622,0.28288543140028316
48,1.0457516339869282,1.4144271570014146
49,0.3921568627450981,0.565770862800566
50,0.5228758169934641,0.42432814710042444
51,0.3921568627450981,0.28288543140028316
52,0.3921568627450981,0.14144271570014158
53,0.7843137254901962,0.28288543140028316
